;;;;;;;Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.;Amazon, ;Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.
;;;;;;;Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd;Prashant ;Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd
;;;;;;;Kalaari Capital, Omidyar Network and Accion Venture Labs;Kalaari ;Capital, Omidyar Network and Accion Venture Labs
;;;;;;;Amazon Inc. and Mastercard;Amazon ;Inc. and Mastercard
;;;;;;;;;
;;;;;;;IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT;IndusAge ;Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT
;;;;;;;Accion Venture Lab, YourNest Venture Capital And Other Angel Investors;Accion ;Venture Lab, YourNest Venture Capital And Other Angel Investors
;;;;;;;Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.;Exfinity ;Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.
;;;;;;;Subhkam Ventures and Mohit Khadaria;Subhkam ;Ventures and Mohit Khadaria
;;;;;;;Vishal Bali, Yogesh Misra, Thomas Assessments and others;Vishal ;Bali, Yogesh Misra, Thomas Assessments and others
;;;;;;;;;
;;;;;;;ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round;ChrysCapital, ;Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round
;;;;;;;Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels;Maheshwar ;Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels
;;;;;;;Accel Partners, Tiger Global And Others;Accel ;Partners, Tiger Global And Others
;;;;;;;Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim;Omidyar ;Network. Blume Ventures and Professor Shlomo Ben-Haim
;;;;;;;Fireside Ventures;Fireside ;Ventures
;;;;;;;Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others;Matrix ;Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others
;;;;;;;;;
;;;;;;;Kae Capital Management;Kae ;Capital Management
;;;;;;;Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others;Fundamentum, ;SAIF Partners, Bessemer Venture Partners, RB investments & Others
;;;;;;;SRI Capital, Waterbridge Ventures and ThinKuvate;SRI ;Capital, Waterbridge Ventures and ThinKuvate
;;;;;;;BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow;BlueOrchard ;Finance Ltd, Hinduja Leyland Finance and IntelleGrow
;;;;;;;Lok Capital;Lok ;Capital
;;;;;;;Mr. Manoj Prasad;Mr. ;Manoj Prasad
